"1","9","2","1","Tyrell","PD-01708857740y9oF","SP-04UBjrsRk","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"2","9","2","1","Santiago","PD-11708857740ZhWD","SP-1jel6Omx9","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"3","6","2","1","Judson","PD-21708857740RVQk","SP-2t17ZSM2M","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"4","5","3","1","Tommie","PD-31708857740MTRl","SP-39PPjTwQu","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"5","2","3","1","Milton","PD-41708857740LaqD","SP-4BhAQaiGw","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"6","2","2","2","Marlin","PD-51708857740in0E","SP-5DU8i99Ur","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"7","7","2","2","Guido","PD-61708857740i5VV","SP-6xfOtQBBT","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"8","7","2","1","Keon","PD-717088577404JRg","SP-7kzbhxYXX","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"9","5","3","1","Bruce","PD-81708857740kMg4","SP-82EzScEo9","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"10","2","3","1","Trystan","PD-917088577400xe1","SP-9BhK4BEiT","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"11","6","1","2","Jermain","PD-1017088577409MYB","SP-10eEbX7OQK","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"12","1","2","1","Martin","PD-111708857740IivI","SP-11A53iXbrk","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"13","1","1","1","Taurean","PD-121708857740Sxsa","SP-121lIN4c5X","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"14","8","2","1","Johan","PD-131708857740vQgt","SP-13m8uWbrBf","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
"15","5","3","2","Miller","PD-141708857740eilS","SP-14ILtfje1F","29.99","24.99","0","2024-02-25T10:42:20.000000Z"
